iter	AUC	CrossEntropy
0	0.7322731018	0.6895969329
1	0.737003237	0.6861170718
2	0.7393695414	0.6827451968
3	0.7413153648	0.6794142361
4	0.7414758503	0.6761727431
5	0.743948102	0.6730303819
6	0.7447363734	0.6699140625
7	0.7451723516	0.6668730903
8	0.7451650202	0.6639116898
9	0.7452989817	0.6610227431
10	0.7454535663	0.6582029514
11	0.7456912994	0.6554234954
12	0.7461724281	0.6527435185
13	0.7465004027	0.6500820602
14	0.7466602623	0.6474838542
15	0.7470234931	0.6449403935
16	0.7474404275	0.6424659144
17	0.7481480837	0.6400467014
18	0.7486193776	0.6376810185
19	0.7489623725	0.6353606481
20	0.7496509254	0.6331159144
21	0.7502047718	0.6308997106
22	0.7511853278	0.6287493056
23	0.7518338263	0.6266574653
24	0.7528343499	0.6246427662
25	0.7532752156	0.6226236111
26	0.7536509633	0.6206480324
27	0.7543105185	0.6187475116
28	0.7551122606	0.6168791088
29	0.755453825	0.6150170718
30	0.7558426857	0.6131806134
31	0.7564355433	0.6114093171
32	0.756955862	0.609687037
33	0.7574123144	0.6079826389
34	0.7579770386	0.6063307292
35	0.7583489418	0.6047041088
36	0.7590188086	0.6031012731
37	0.7594945133	0.6015741319
38	0.7602039278	0.6000654514
39	0.7606154084	0.5985656829
40	0.7609083354	0.5970855324
41	0.7613229156	0.5956493056
42	0.7617489994	0.5942663773
43	0.762049526	0.5928914352
44	0.7621706426	0.5915060764
45	0.7627984285	0.5901692708
46	0.7632286847	0.5888572338
47	0.7636445165	0.5876060764
48	0.763869375	0.586315625
49	0.7641020417	0.5850680556
50	0.7645181715	0.5838679398
51	0.7648296058	0.5826925347
52	0.7651190758	0.5815110532
53	0.7654121816	0.5803589699
54	0.7657516301	0.5792353588
55	0.7661976814	0.5781424769
56	0.7665618062	0.5770402199
57	0.76673159	0.5759524306
58	0.7670120895	0.5749090856
59	0.7671969533	0.5738657407
60	0.7673961818	0.5728602431
61	0.7675772309	0.5718385995
62	0.7678158879	0.5708452546
63	0.7679243684	0.5698873264
64	0.7682746649	0.5689343171
